Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,t_pop_2010,,,,,,,
Staten Island,085,5,014608,"3,510",110.86,31.7,,,,,
Staten Island,085,5,014700,"3,412",412.14,8.3,,,,,
Staten Island,085,5,015100,"5,141",248.16,20.7,,,,,
Staten Island,085,5,015400,0,548.61,0.0,,,,,
Staten Island,085,5,015601,"6,330",353.35,17.9,,,,,
Staten Island,085,5,015602,"3,320",217.72,15.2,,,,,
Staten Island,085,5,015603,"4,265",258.75,16.5,,,,,
Staten Island,085,5,016901,"2,970",196.93,15.1,,,,,
Staten Island,085,5,017005,"4,507",370,12.2,,,,,
Staten Island,085,5,017007,"4,968",359.74,13.8,,,,,
Staten Island,085,5,017008,"7,388",257.42,28.7,,,,,
Staten Island,085,5,017009,"4,299",265.57,16.2,,,,,
Staten Island,085,5,017010,"8,583",274.27,31.3,,,,,
Staten Island,085,5,017011,"4,549",177.77,25.6,,,,,
Staten Island,085,5,017012,"4,279",248.16,17.2,,,,,
Staten Island,085,5,017300,"2,523",84.81,29.7,,,,,
Staten Island,085,5,017600,"4,815",842.07,5.7,,,,,
Staten Island,085,5,017700,"7,001",876.38,8.0,,,,,
Staten Island,085,5,018100,"2,974",1286.72,2.3,,,,,
Staten Island,085,5,018701,"1,807",94.36,19.2,,,,,
Staten Island,085,5,018702,"7,485",251.13,29.8,,,,,
Staten Island,085,5,018901,"5,333",268.48,19.9,,,,,
Staten Island,085,5,018902,"5,064",196.25,25.8,,,,,
Staten Island,085,5,019700,"1,867",74.17,25.2,,,,,
Staten Island,085,5,019800,"6,300",1437.14,4.4,,,,,
Staten Island,085,5,020100,"3,572",155.23,23.0,,,,,
Staten Island,085,5,020700,"6,399",236.55,27.1,,,,,
Staten Island,085,5,020801,"8,977",641.48,14.0,,,,,
Staten Island,085,5,020803,"6,463",518.62,12.5,,,,,
Staten Island,085,5,020804,"5,323",328.8,16.2,,,,,
Staten Island,085,5,021300,"5,376",193.87,27.7,,,,,
Staten Island,085,5,022300,"2,880",191.48,15.0,,,,,
